nr;thema;typ;frage;richtig;falsch1;falsch2;falsch3;quelle
1;Grundlagen;MC;Was umfasst Fleisch als Handelsware?;Alle für den menschlichen Genuss verwendbaren Teile von schlacht- und jagdbaren Tieren (Muskelgewebe und Innereien);Nur das Muskelgewebe von Schlachttieren;Alle Teile von Schlachttieren außer den Innereien;Nur Rind-, Schweine- und Geflügelfleisch;IB Fleisch
2;Grundlagen;MC;Woraus setzt sich Fleisch zusammen?;Muskelfasern, Bindegewebe und Fettgewebe;Muskelfasern, Knochen und Wasser;Eiweiß, Kollagen und Stärke;Muskelfasern, Knorpel und Innereien;IB Fleisch
3;Grundlagen;RF;Das Kollagen-Eiweiß im Bindegewebe ist für die Ernährung besonders hochwertig.;falsch;;;;IB Fleisch
4;Grundlagen;MC;Warum sind Edelstücke ernährungsphysiologisch wertvoller als Stücke mit viel Bindegewebe?;Sie enthalten mehr hochwertiges Muskeleiweiß und wenig Kollagen-Eiweiß;Sie enthalten mehr Fett und damit mehr Energie;Sie enthalten mehr Kollagen-Eiweiß;Sie haben einen höheren Wasseranteil;IB Fleisch
5;Grundlagen;MC;Welche der folgenden ist KEINE Handelssorte laut Lehrbuch?;Ziegenfleisch;Pferdefleisch;Wildfleisch;Lammfleisch;IB Fleisch
6;Grundlagen;RF;Fleisch und Fleischwaren unterliegen der amtlichen Preisregelung.;falsch;;;;IB Fleisch
7;Kennzeichnung;MC;Welche Angabe steht auf Faschiertem anstelle des Mindesthaltbarkeitsdatums?;Das Verbrauchsdatum („verbrauchen bis …“);Das Schlachtdatum;Das Herstellungsdatum („hergestellt am …“);Keine – Faschiertes braucht kein Datum;IB Fleisch
8;Kennzeichnung;MC;Im Zuge welches Skandals wurde die verpflichtende Rindfleischetikettierung eingeführt?;BSE-Skandal;Pferdefleisch-Skandal;Gammelfleisch-Skandal;Dioxin-Skandal;IB Fleisch
9;Kennzeichnung;MC;Welche EU-Verordnung regelt die Rindfleischetikettierung?;(EG) Nr. 1760/2000;(EG) Nr. 853/2004;(EG) Nr. 854/2004;(EG) Nr. 178/2002;IB Fleisch
10;Kennzeichnung;ZU;Ordnen Sie jeder Station der Rindfleischetikettierung die vorgeschriebene Angabe zu.;Geburt = Staat, in dem das Tier geboren wurde | Mast = Staat, in dem das Tier gemästet wurde | Schlachtung = Zulassungsnummer des Schlachthofes und Staat | Zerlegung = Zulassungsnummer des Zerlegungsbetriebes und Staat;;;;IB Fleisch
11;Kennzeichnung;MC;Was muss bei tiefgekühltem Rindfleisch zusätzlich auf dem Etikett stehen?;„Eingefroren am“ mit Datum – falls aufgetaut, zusätzlich „aufgetaut“;Die Tiefkühltemperatur beim Schlachthof;Das Gewicht vor dem Einfrieren;Der Name des Amtstierarztes;IB Fleisch
12;Kennzeichnung;RF;Ein Etikett mit „Geboren: Irland – gemästet, geschlachtet und zerlegt: Österreich“ ist Etikettenschwindel, wenn der Kunde österreichisches Fleisch bestellt hat.;falsch;;;;LB Fleisch
13;Kennzeichnung;MC;Ein Gastwirt will künftig nur Rindfleisch, bei dem alle Stationen Österreich lauten. Was bieten Sie ihm an?;Gütesiegelware, bei der Geburt, Mast, Schlachtung und Zerlegung in Österreich erfolgen;Ware mit dem Hinweis „BOS-gekennzeichnet“;Ware mit Fleischigkeitsklasse E;Tiefkühlware aus österreichischem Lager;IB Fleisch
14;Kennzeichnung;MC;Etikett „Rindfleisch, TK: Gemästet: AT · Geschlachtet: Österreich · Zerlegt: AT 40877 EG, Österreich · eingefroren am …“ – was fehlt?;Die Angabe zur Geburt und die Zulassungsnummer des Schlachthofes;Nur das Mindesthaltbarkeitsdatum;Die Fleischigkeitsklasse und die Fettklasse;Nichts – das Etikett ist vollständig;LB Fleisch
15;Kennzeichnung;RF;Bei Schweinefleisch ist die Angabe des Ursprungslandes bzw. Herkunftsortes Pflicht.;richtig;;;;IB Fleisch
16;Kennzeichnung;MC;Wer untersucht das Schlachtvieh vor und das Fleisch nach der Schlachtung?;Die Amtstierärztin bzw. der Amtstierarzt;Die Lebensmittelinspektorin bzw. der Lebensmittelinspektor im Geschäft;Der Fleischermeister des Schlachthofes;Die AMA-Marketing;IB Fleisch
17;Kennzeichnung;MC;Welcher Schritt gehört NICHT zur durchgehenden Kennzeichnungskette bei Gütesiegelfleisch?;Preisfreigabe durch die Wirtschaftskammer;Amtlicher Stempel der Veterinärbehörde;Bestätigung der Gütesiegelqualität durch beeidete Klassifizierer;Kennzeichnung der Betriebsnummer des Gütesiegelbauernhofs;IB Fleisch
18;Kategorien & Klassen;ZU;Ordnen Sie die Kategorie-Buchstaben beim Rindfleisch richtig zu.;A = Jungstier | B = Stier | C = Ochse | D = Kuh | E = Kalbin;;;;IB Rindfleisch
19;Kategorien & Klassen;MC;Was ist eine Kalbin?;Ein ausgewachsenes weibliches Rind vor der ersten Abkalbung;Ein weibliches Kalb bis 150 kg Zweihälftengewicht;Eine Kuh nach der ersten Abkalbung;Ein kastriertes männliches Rind;IB Rindfleisch
20;Kategorien & Klassen;MC;Welches Zweihälftengewicht hat ein Jungrind (JR) laut Lehrbuch?;150 bis 300 kg;bis 150 kg;300 bis 450 kg;über 450 kg;IB Rindfleisch
21;Kategorien & Klassen;ZU;Ordnen Sie die Buchstaben des EUROP-Systems der Fleischigkeit zu.;E = vorzüglich | U = sehr gut | R = gut | O = mittel | P = gering;;;;IB Rindfleisch
22;Kategorien & Klassen;MC;Ein Stück ist mit „U3“ ausgezeichnet. Was bedeutet das?;Sehr gute Fleischigkeit, mittlere Fettabdeckung;Vorzügliche Fleischigkeit, geringe Fettabdeckung;Gute Fleischigkeit, 3 Wochen gereift;Kategorie Ochse, Qualitätsstufe 3;IB Rindfleisch
23;Kategorien & Klassen;MC;Angebot: Kategorie C, Klasse U2. Was bedeutet das?;Ochse, sehr gute Fleischigkeit, geringe Fettabdeckung;Kuh, sehr gute Fleischigkeit, geringe Fettabdeckung;Ochse, gute Fleischigkeit, starke Fettabdeckung;Stier, mittlere Fleischigkeit, geringe Fettabdeckung;LB Rindfleisch
